x	y	z
1433	-711	-58
425	41	-1797
242	-146	-936
-55	1685	-805
-445	419	1743
14	-393	1007
-708	-550	1115
-782	-1023	-728
-904	716	1533
175	-31	1514
577	568	1301
-224	-1871	465
-1373	429	816
-113	223	-1531
-547	577	-1656
174	-362	-1233
-1152	41	713
-277	163	-1032
1405	108	-508
1505	177	457
-72	953	822
848	-497	1175
-876	-1079	-791
-81	-862	-1220
113	1683	1116
-629	-661	-799
1196	-789	1
-1587	-257	469
-801	988	-1108
71	-1274	509
-276	-327	-1401
141	3	-1370
-604	520	1164
-114	248	1823
-400	1032	-1234
-416	80	-951
-698	-344	1437
1633	-708	-839
-507	456	1368
1731	916	147
468	663	-1695
340	1305	-1150
-263	1369	694
80	929	-1577
1766	-26	-189
-175	-1	1338
1405	619	36
344	791	1358
-1079	-234	-1060
356	226	-1377
-737	82	1702
-1141	392	-695
-387	-1156	-739
-93	-21	-1887
631	-564	1616
-1664	1031	-62
-798	271	1407
1978	-116	-611
-569	322	1492
-428	280	2005
-9	-151	1442
-1537	-1233	-340
357	-147	1863
-1048	31	-312
461	1919	-73
205	-488	1562
90	-598	-1128
505	-380	-1769
-372	325	1005
349	-1080	699
-240	865	1879
237	1529	875
1276	-543	-431
578	325	-966
440	896	-1638
436	1316	-485
98	127	1494
302	37	-1016
1014	-91	-1467
-1214	-908	-863
-273	426	1216
386	-1570	-1097
569	-1454	807
-417	-334	813
163	-569	1611
184	-323	-860
265	-231	1304
-730	-430	936
320	-780	-1293
1038	-986	-648
1570	-195	545
-561	-1483	1054
2	1177	-742
64	1018	1294
742	392	-967
-1045	1534	-608
727	-1233	63
-683	-274	-987
-38	1702	-1250
654	-987	700
