x	y	z
83	-36	-133
350	41	-297
-58	-371	489
-55	485	95
-295	419	243
14	-318	-493
-108	-175	-235
-32	-348	322
-379	491	183
-275	-331	89
422	348	-130
-299	-446	90
-98	-21	141
37	223	-31
-472	-23	-306
-351	13	117
-252	266	-487
-352	163	468
55	-492	-133
80	477	307
121	-424	158
473	-272	-250
-51	-179	109
144	-412	205
-37	483	216
-104	-61	476
-154	-264	451
-87	-482	469
99	313	-133
-4	226	284
-276	-177	99
441	3	130
-229	295	-261
-489	173	398
-250	432	116
34	380	474
202	-344	237
283	-483	-164
-57	306	-57
381	241	147
168	213	-270
265	30	-325
112	394	-431
155	-46	-452
341	-401	-264
-475	149	-87
-95	394	36
344	191	8
-104	-159	65
436	371	54
-287	382	277
-316	-283	355
-87	269	-364
-93	504	-462
406	-414	116
-314	356	-287
-123	-479	282
-15	101	-382
31	-428	433
-278	205	505
-234	-1	-58
-337	-333	-190
-93	-372	372
377	406	-312
236	419	-73
130	-338	62
-210	-298	297
-95	-380	-419
-297	325	-495
124	-105	-426
-315	415	454
387	479	-175
1	57	19
-397	250	159
290	71	-438
361	-184	-485
248	-98	-6
-223	-263	334
264	-316	-192
-389	-83	37
-123	426	-284
86	-295	-347
1	148	271
76	124	-466
463	-194	186
-491	52	415
190	444	-46
245	-355	-189
-280	45	-168
-87	-386	177
295	-420	-205
264	-358	454
-73	52	233
-11	268	19
-458	-58	-142
5	484	-308
-98	-33	213
-308	-349	438
-38	427	-425
-21	213	100
