x	y	z
983	-486	-83
400	41	-1297
142	-221	-461
-55	1285	-505
-395	419	1243
14	-368	507
-508	-425	665
-532	-798	-378
-729	641	1083
25	-131	1039
527	493	826
-249	-1396	340
-948	279	591
-63	223	-1031
-522	377	-1206
-1	-237	-783
-852	116	313
-302	163	-532
955	-92	-383
1030	277	407
3	478	622
723	-422	700
-601	-779	-491
-6	-712	-745
63	1283	816
-454	-461	-374
746	-614	151
-1087	-332	469
-501	763	-783
46	-774	434
-276	-277	-901
241	3	-870
-479	445	689
-239	223	1348
-350	832	-784
-266	180	-476
-398	-344	1037
1183	-633	-614
-357	406	893
1281	691	147
368	513	-1220
315	880	-875
-138	1044	319
105	604	-1202
1291	-151	-214
-275	49	863
905	544	36
344	591	908
-754	-209	-685
381	276	-902
-587	182	1227
-866	167	-345
-287	-681	-614
-93	154	-1412
556	-514	1116
-1214	806	-137
-573	21	1032
1303	-41	-536
-369	72	1142
-378	255	1505
-84	-101	942
-1137	-933	-290
207	-222	1363
-573	156	-312
386	1419	-73
180	-438	1062
-10	-498	-653
305	-380	-1319
-347	325	505
274	-755	324
-265	715	1404
287	1179	525
851	-343	-281
253	300	-591
390	621	-1238
411	816	-485
148	52	994
127	-63	-566
764	-166	-1042
-939	-633	-563
-223	426	716
286	-1145	-847
369	-904	607
-242	-184	388
263	-444	1136
-41	-198	-435
240	-6	854
-405	-405	561
120	-505	-918
663	-786	-373
1145	-270	295
-286	-1108	854
-23	802	-417
39	768	869
342	242	-692
-695	1184	-508
452	-833	113
-558	-299	-512
-38	1277	-975
429	-587	500
