#i	kin	pot	total
1	1.20035e+08
2	1.20035e+08
3	1.20035e+08
4	1.20035e+08
5	1.20035e+08
6	1.20035e+08
7	1.20035e+08
8	1.20035e+08
9	1.20035e+08
10	1.20035e+08
11	1.20035e+08
12	1.20035e+08
13	1.20035e+08
14	1.20035e+08
15	1.20035e+08
16	1.20035e+08
17	1.20035e+08
18	1.20035e+08
19	1.20035e+08
20	1.20035e+08
21	1.20035e+08
22	1.20035e+08
23	1.20035e+08
24	1.20035e+08
25	1.20035e+08
26	1.20035e+08
27	1.20035e+08
28	1.20035e+08
29	1.20035e+08
30	1.20035e+08
31	1.20035e+08
32	1.20035e+08
33	1.20035e+08
34	1.20035e+08
35	1.20035e+08
36	1.20035e+08
37	1.20035e+08
38	1.20035e+08
39	1.20035e+08
40	1.20035e+08
41	1.20035e+08
42	1.20035e+08
43	1.20035e+08
44	1.20035e+08
45	1.20035e+08
46	1.20035e+08
47	1.20035e+08
48	1.20035e+08
49	1.20035e+08
50	1.20035e+08
51	1.20035e+08
52	1.20035e+08
53	1.20035e+08
54	1.20035e+08
55	1.20035e+08
56	1.20035e+08
57	1.20035e+08
58	1.20035e+08
59	1.20035e+08
60	1.20035e+08
61	1.20035e+08
62	1.20035e+08
63	1.20035e+08
64	1.20035e+08
65	1.20035e+08
66	1.20035e+08
67	1.20035e+08
68	1.20035e+08
69	1.20035e+08
70	1.20035e+08
71	1.20035e+08
72	1.20035e+08
73	1.20035e+08
74	1.20035e+08
75	1.20035e+08
76	1.20035e+08
77	1.20035e+08
78	1.20035e+08
79	1.20035e+08
80	1.20035e+08
81	1.20035e+08
82	1.20035e+08
83	1.20035e+08
84	1.20035e+08
85	1.20035e+08
86	1.20035e+08
87	1.20035e+08
88	1.20035e+08
89	1.20035e+08
90	1.20035e+08
91	1.20035e+08
92	1.20035e+08
93	1.20035e+08
94	1.20035e+08
95	1.20035e+08
96	1.20035e+08
97	1.20035e+08
98	1.20035e+08
99	1.20035e+08
100	1.20035e+08
