#x	y	z
137	-63	-130
353	41	-357
-46	-362	432
-55	533	59
-301	419	303
14	-321	-433
-132	-190	-181
-62	-375	280
-400	500	237
-257	-319	146
431	354	-70
-296	-503	105
-149	-3	168
31	223	-91
-475	1	-360
-330	-2	63
-288	257	-439
-349	163	408
109	-468	-148
137	465	313
118	-376	194
488	-281	-193
-84	-215	73
135	-430	148
-31	531	252
-125	-85	425
-100	-285	433
-147	-473	469
63	340	-172
-1	166	293
-276	-183	39
429	3	70
-244	304	-204
-474	176	455
-256	456	62
16	368	417
166	-344	285
337	-492	-191
-75	312	0
435	268	147
180	231	-327
268	81	-358
97	433	-386
152	-7	-497
398	-386	-261
-463	143	-30
-35	403	36
344	215	62
-143	-162	20
430	368	-6
-305	370	334
-349	-256	313
-99	212	-379
-93	483	-519
415	-420	176
-368	383	-278
-150	-449	327
42	98	-394
7	-398	478
-284	208	565
-225	-7	2
-385	-369	-196
-75	-363	429
320	391	-312
245	479	-73
133	-344	122
-198	-310	240
-71	-380	-473
-300	325	-435
133	-144	-381
-312	433	511
381	521	-133
52	33	1
-358	253	114
296	104	-486
364	-124	-485
242	-89	54
-202	-251	280
294	-307	-243
-422	-116	1
-129	426	-224
98	-346	-377
19	91	283
79	100	-412
451	-209	243
-464	37	364
193	417	8
206	-358	-144
-256	12	-213
-42	-410	144
346	-411	-175
231	-403	478
-70	97	194
-8	298	70
-410	-40	-175
-37	526	-320
-65	-81	207
-323	-346	381
-38	478	-458
6	165	124
