#x	y	z
1559	-774	-51
432	41	-1937
270	-125	-1069
-55	1797	-889
-459	419	1883
14	-400	1147
-764	-585	1241
-852	-1086	-826
-953	737	1659
217	-3	1647
591	589	1434
-217	-2004	500
-1492	471	879
-127	223	-1671
-554	633	-1782
223	-397	-1359
-1236	20	825
-270	163	-1172
1531	164	-543
1638	149	471
-93	1086	878
883	-518	1308
-953	-1163	-875
-102	-904	-1353
127	1795	1200
-678	-717	-918
1322	-838	-41
-1727	-236	469
-885	1051	-1199
78	-1414	530
-276	-341	-1541
113	3	-1510
-639	541	1297
-79	255	1956
-414	1088	-1360
-458	52	-1084
-782	-344	1549
1759	-729	-902
-549	470	1501
1857	979	147
496	705	-1828
347	1424	-1227
-298	1460	799
73	1020	-1682
1899	9	-182
-147	-15	1471
1545	640	36
344	847	1484
-1170	-241	-1165
349	212	-1510
-779	54	1835
-1218	455	-793
-415	-1289	-774
-93	-70	-2020
652	-578	1756
-1790	1094	-41
-861	341	1512
2167	-137	-632
-625	392	1590
-442	287	2145
12	-165	1582
-1649	-1317	-354
399	-126	2003
-1181	-4	-312
482	2059	-73
212	-502	1702
118	-626	-1261
561	-380	-1895
-379	325	1145
370	-1171	804
-233	907	2012
223	1627	973
1395	-599	-473
669	332	-1071
454	973	-1750
443	1456	-485
84	148	1634
351	65	-1142
1084	-70	-1586
-1291	-985	-947
-287	426	1356
414	-1689	-1167
625	-1608	863
-466	-376	932
135	-604	1744
247	-358	-979
272	-294	1430
-821	-437	1041
376	-857	-1398
1143	-1042	-725
1689	-174	615
-638	-1588	1110
9	1282	-833
71	1088	1413
854	434	-1044
-1143	1632	-636
804	-1345	49
-718	-267	-1120
-38	1821	-1327
717	-1099	756
