#x	y	z
461	-225	-112
371	41	-717
26	-308	90
-55	821	-157
-337	419	663
14	-339	-73
-276	-280	143
-242	-537	28
-526	554	561
-149	-247	488
469	406	275
-278	-845	195
-455	105	330
-5	223	-451
-493	145	-684
-204	-92	-261
-504	203	-151
-331	163	48
433	-324	-238
479	393	349
90	-73	390
578	-335	149
-282	-431	-143
81	-538	-194
5	819	468
-251	-229	119
224	-411	325
-507	-419	469
-153	502	-406
17	-194	347
-276	-219	-321
357	3	-290
-334	358	138
-384	194	797
-292	600	-262
-92	296	75
-50	-344	573
661	-546	-353
-183	348	342
759	430	147
252	339	-669
286	387	-556
7	667	-116
134	227	-767
740	-296	-243
-391	107	312
325	457	36
344	359	386
-377	-180	-250
410	334	-351
-413	298	676
-547	-94	61
-171	-130	-469
-93	357	-861
469	-456	536
-692	545	-224
-312	-269	597
520	46	-449
-137	-218	736
-320	226	925
-171	-43	362
-673	-585	-232
33	-309	783
-22	301	-312
299	839	-73
151	-380	482
-126	-382	-102
73	-380	-797
-318	325	-75
187	-378	-111
-294	541	853
345	773	119
358	-111	-107
-124	271	-156
332	302	-774
382	236	-485
206	-35	414
-76	-179	-44
474	-253	-549
-620	-314	-215
-165	426	136
170	-652	-557
137	-266	375
-39	-10	-105
379	-299	585
-302	-53	58
211	255	332
-28	-376	126
-112	-186	-483
228	-554	-54
652	-357	5
33	-673	622
-52	367	-40
10	478	376
-122	68	-373
-289	778	-392
133	-369	171
-413	-328	39
-38	784	-656
168	-123	268
