#x	y	z
389	-189	-116
367	41	-637
10	-320	166
-55	757	-109
-329	419	583
14	-335	-153
-244	-260	71
-202	-501	84
-498	542	489
-173	-263	412
461	394	199
-282	-769	175
-387	81	294
3	223	-371
-489	113	-612
-232	-72	-189
-456	215	-215
-335	163	128
361	-356	-218
403	409	341
102	-149	358
558	-323	73
-238	-383	-95
93	-514	-118
-3	755	420
-223	-197	187
152	-383	349
-427	-431	469
-105	466	-354
13	-114	335
-276	-211	-241
373	3	-210
-314	346	62
-404	190	721
-284	568	-190
-68	312	151
-2	-344	509
589	-534	-317
-159	340	266
687	394	147
236	315	-593
282	319	-512
27	615	-176
138	175	-707
664	-316	-247
-407	115	236
245	445	36
344	327	314
-325	-176	-190
414	342	-275
-389	314	600
-503	-130	117
-155	-54	-449
-93	385	-785
457	-448	456
-620	509	-236
-276	-309	537
412	58	-437
-105	-258	680
-312	222	845
-183	-35	282
-609	-537	-224
9	-321	703
54	321	-312
287	759	-73
147	-372	402
-142	-366	-26
41	-380	-725
-314	325	-155
175	-326	-171
-298	517	777
353	717	63
290	-79	-83
-176	267	-96
324	258	-710
378	156	-485
214	-47	334
-104	-195	28
434	-265	-481
-576	-270	-167
-157	426	56
154	-584	-517
105	-178	343
-11	14	-173
395	-279	509
-338	-33	126
207	291	260
24	-372	66
-144	-142	-423
168	-522	-10
584	-369	-35
77	-613	590
-56	307	12
6	438	308
-186	44	-329
-233	722	-376
89	-305	179
-393	-332	115
-38	716	-612
132	-59	236
