#x	y	z
1541	-765	-52
431	41	-1917
266	-128	-1050
-55	1781	-877
-457	419	1863
14	-399	1127
-756	-580	1223
-842	-1077	-812
-946	734	1641
211	-7	1628
589	586	1415
-218	-1985	495
-1475	465	870
-125	223	-1651
-553	625	-1764
216	-392	-1341
-1224	23	809
-271	163	-1152
1513	156	-538
1619	153	469
-90	1067	870
878	-515	1289
-942	-1151	-863
-99	-898	-1334
125	1779	1188
-671	-709	-901
1304	-831	-35
-1707	-239	469
-873	1042	-1186
77	-1394	527
-276	-339	-1521
117	3	-1490
-634	538	1278
-84	254	1937
-412	1080	-1342
-452	56	-1065
-770	-344	1533
1741	-726	-893
-543	468	1482
1839	970	147
492	699	-1809
346	1407	-1216
-293	1447	784
74	1007	-1667
1880	4	-183
-151	-13	1452
1525	637	36
344	839	1466
-1157	-240	-1150
350	214	-1491
-773	58	1816
-1207	446	-779
-411	-1270	-769
-93	-63	-2001
649	-576	1736
-1772	1085	-44
-852	331	1497
2140	-134	-629
-617	382	1576
-440	286	2125
9	-163	1562
-1633	-1305	-352
393	-129	1983
-1162	1	-312
479	2039	-73
211	-500	1682
114	-622	-1242
553	-380	-1877
-378	325	1125
367	-1158	789
-234	901	1993
225	1613	959
1378	-591	-467
656	331	-1056
452	962	-1734
442	1436	-485
86	145	1614
344	61	-1124
1074	-73	-1569
-1280	-974	-935
-285	426	1336
410	-1672	-1157
617	-1586	855
-459	-370	915
139	-599	1725
238	-353	-962
271	-285	1412
-808	-436	1026
368	-846	-1383
1128	-1034	-714
1672	-177	605
-627	-1573	1102
8	1267	-820
70	1078	1396
838	428	-1033
-1129	1618	-632
793	-1329	51
-713	-268	-1101
-38	1804	-1316
708	-1083	748
