#x	y	z
929	-459	-86
397	41	-1237
130	-230	-404
-55	1237	-469
-389	419	1183
14	-365	447
-484	-410	611
-502	-771	-336
-708	632	1029
7	-143	982
521	484	769
-252	-1339	325
-897	261	564
-57	223	-971
-519	353	-1152
-22	-222	-729
-816	125	265
-305	163	-472
901	-116	-368
973	289	401
12	421	598
708	-413	643
-568	-743	-455
3	-694	-688
57	1235	780
-433	-437	-323
692	-593	169
-1027	-341	469
-465	736	-744
43	-714	425
-276	-271	-841
253	3	-810
-464	436	632
-254	220	1291
-344	808	-730
-248	192	-419
-362	-344	989
1129	-624	-587
-339	400	836
1227	664	147
356	495	-1163
312	829	-842
-123	1005	274
108	565	-1157
1234	-166	-217
-287	55	806
845	535	36
344	567	854
-715	-206	-640
384	282	-845
-569	194	1170
-833	140	-303
-275	-624	-599
-93	175	-1355
547	-508	1056
-1160	779	-146
-546	-9	987
1222	-32	-527
-345	42	1100
-372	252	1445
-93	-95	882
-1089	-897	-284
189	-231	1303
-516	171	-312
377	1359	-73
177	-432	1002
-22	-486	-596
281	-380	-1265
-344	325	445
265	-716	279
-268	697	1347
293	1137	483
800	-319	-263
214	297	-546
384	588	-1190
408	756	-485
154	43	934
106	-75	-512
734	-175	-991
-906	-600	-527
-217	426	656
274	-1094	-817
345	-838	583
-221	-166	337
275	-429	1079
-68	-183	-384
237	21	800
-366	-402	516
96	-472	-873
618	-762	-340
1094	-279	265
-253	-1063	830
-26	757	-378
36	738	818
294	224	-659
-653	1142	-496
419	-785	119
-543	-302	-455
-38	1226	-942
402	-539	476
